qid,label_en,description_en,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,part_of_school_uuid,part_of_school,part_of_school_ref1_hash,part_of_school_ref1_referenceUrl,part_of_school_ref1_retrieved_nodeId,part_of_school_ref1_retrieved_val,part_of_school_ref1_retrieved_prec,website_uuid,website,website_language,website_ref1_hash,website_ref1_retrieved_nodeId,website_ref1_retrieved_val,website_ref1_retrieved_prec
Q101016203,University of Virginia Department of Neurology,academic department,A9237F19-559A-47ED-91C8-3952A8D5A4C8,Q2467461,,,,,,9EF51DF1-C7FC-42C1-A6E2-DA6C9FF93553,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
Q101016205,University of Virginia Department of Neuroscience,academic department,5E17826D-6779-4021-B409-AFAFE3774180,Q2467461,,,,,,D75B1CA4-7C1D-445B-8D04-2CB1AB441D29,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
Q101016208,University of Virginia Department of Obstetrics and Gynecology,academic department,08540722-65E9-4511-A253-DB5E8D5A9831,Q2467461,,,,,,2A2042B7-9787-43DA-BC42-271BFD7E61C9,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
Q101016209,University of Virginia Department of Ophthalmology,academic department,988EF430-1AFF-439A-A96D-F3CFF0E94FDC,Q2467461,,,,,,4A31D1DA-65D1-4CD4-A6ED-F6F8D2EB3DB9,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
,University of Virginia Department of Orthopaedic Surgery,,,,,,,,,,,,,,,,,,,,,,
Q108071868,University of Virginia Department of Otolaryngology – Head and Neck Surgery,academic department at the University of Virginia,27150914-40e3-9312-491c-8092f7927239,Q2467461,,,,,,da56cb4f-49b6-bcd4-e778-bf1861917661,http://www.wikidata.org/entity/Q7896544,b02103e2cb566f2c781728f3ef34fa46eaa35061,https://med.virginia.edu/otolaryngology/,369edaf18dc617cba64d731c8600dd0f,2021-08-13T00:00:00Z,11,2a96ee31-4cd8-c60a-7d5d-ab7367fd3090,https://med.virginia.edu/otolaryngology/,Q1860,,,,
Q101016211,University of Virginia Department of Pathology,academic department,FF933325-D360-4020-AED5-9733A75A9C4F,Q2467461,,,,,,0D428CD0-C339-40A6-ABA5-496BB80F3762,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
,"University of Virginia Department of Pathology, Research",,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Department of Pediatrics,,,,,,,,,,,,,,,,,,,,,,
Q101016213,University of Virginia Department of Pharmacology,faculty of pharmacy,1EF5CE03-C687-4C6D-960F-92E9CD5E7420,Q62129701,,,,,,D02C4984-6ECA-460E-93D3-41B7DB3D0EA5,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
,University of Virginia Department of Pharmacy Services,,,,,,,,,,,,,,,,,,,,,,
Q101016214,University of Virginia Department of Physical Medicine and Rehabilitation,academic department,10597296-900F-4A73-AA34-8C7B60B2D582,Q2467461,,,,,,AD4AC4BB-FFB7-4C2A-A72A-E1BABBF3CF5A,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
,University of Virginia Department of Plastic Surgery,,,,,,,,,,,,,,,,,,,,,,
Q101016217,University of Virginia Department of Psychiatry and Neurobehavioral Sciences,academic department,2D62FCBB-94BF-4DBE-94EF-DB870B30BA5B,Q2467461,,,,,,9ECA7A6E-F248-41E6-B1A1-A28AD5D5A237,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
Q101016219,University of Virginia Department of Public Health Sciences,academic department,3BD0D849-A409-4E78-A9B7-3184B0FC8E03,Q2467461,,,,,,BAFD1D17-E4B8-40FF-BF1E-5CE55E724040,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
,University of Virginia Department of Radiation Oncology,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Department of Radiology,,,,,,,,,,,,,,,,,,,,,,
Q101016225,University of Virginia Department of Surgery,academic department,AE2D7323-F6AB-4F82-8842-F444EDA03242,Q2467461,,,,,,41934C1F-1B2D-46DA-95C3-6D296EAE174B,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
,University of Virginia Department of Therapy Services,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Department of Urology,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia School of Medicine Administration,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Bjoring Nursing History Center,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Clinical Simulation Learning Center,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Compassionate Care Initiative,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Diversity & Inclusion,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Global Initiatives,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Admissions and Student Services,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Nursing Research,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Claude Moore Health Sciences Library,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Q101016227,University of Virginia School of Medicine Advanced Microscopy Facility,academic department,8CB5FDFC-FEFB-40A9-8D99-414330222DAE,Q2467461,,,,,,1E44F95B-A581-4E72-AA7A-0D5B8CD571B3,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
Q61065078,Biomedical Engineering,University of Virginia department,51d31008-4546-281a-2cb2-e136a6670e20,Q2366457,,,,,,1383e466-411e-b7c5-7eaa-d756010736ee,http://www.wikidata.org/entity/Q7896543,,,,,,194c2301-4d79-42db-105b-0f96fb17dfe1,https://engineering.virginia.edu/departments/biomedical-engineering,,,,,
Q58709044,Global Infectious Diseases Institute,institute at University of Virginia,c29fe89f-4597-c084-8b42-53306916ca0a,Q31855,,,,,,c49bbb44-4686-8c3a-f82e-fdb1513017be,http://www.wikidata.org/entity/Q213439,,,,,,252a0e4a-4215-ff6d-4467-044ad61a2586,http://gidi.virginia.edu/,,,,,
Q101016185,University of Virginia Department of Biology,academic department,5A0DF395-3A4F-41FB-9727-D7DAAEA09BC9,Q2467461,,,,,,CAE3C4B7-289F-4925-9AFD-B41BD9E0260C,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
