pubmedId,title,author,affiliation
30107138,"FHIT, a Novel Modifier Gene in Pulmonary Arterial Hypertension.",Lisa Wheeler,"7 Vanderbilt University Medical Center, Nashville, Tennessee; and."
30107138,"FHIT, a Novel Modifier Gene in Pulmonary Arterial Hypertension.",Michele Donato,"8 Biomedical Informatics Research-Institute for Immunity, Transplantation, and Infection, Stanford University, Stanford, California."
30107138,"FHIT, a Novel Modifier Gene in Pulmonary Arterial Hypertension.",Purvesh Khatri,"8 Biomedical Informatics Research-Institute for Immunity, Transplantation, and Infection, Stanford University, Stanford, California."
30069064,Registered access: authorizing data access.,Xiaoqian Jiang,"Department of Biomedical Informatics, UC San Diego, La Jolla, CA, USA."
30069064,Registered access: authorizing data access.,Shuang Wang,"Department of Biomedical Informatics, UC San Diego, La Jolla, CA, USA."
30069064,Registered access: authorizing data access.,Bradley A Malin,"Vanderbilt University Medical Center, Nashville, TN, USA."
30069064,Registered access: authorizing data access.,Gunnar Rätsch,"Department of Computer Science, Biomedical Informatics, ETH Zurich, Zurich, Switzerland."
30029678,Rare variants in SOX17 are associated with pulmonary arterial hypertension with congenital heart disease.,Eric D Austin,"Department of Pediatrics, Vanderbilt University School of Medicine, Nashville, TN, USA."
30029678,Rare variants in SOX17 are associated with pulmonary arterial hypertension with congenital heart disease.,Rizwan Hamid,"Department of Pediatrics, Vanderbilt University School of Medicine, Nashville, TN, USA."
30029678,Rare variants in SOX17 are associated with pulmonary arterial hypertension with congenital heart disease.,Yufeng Shen,"Department of Biomedical Informatics, Columbia University, New York, NY, USA."
30026132,Nuclear-Mitochondrial interactions influence susceptibility to HIV-associated neurocognitive impairment.,P Jia,"Center for Precision Health, School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, TX, United States."
30026132,Nuclear-Mitochondrial interactions influence susceptibility to HIV-associated neurocognitive impairment.,D C Samuels,"Department of Molecular Physiology and Biophysics, Vanderbilt University School of Medicine, Nashville, TN, United States."
30026132,Nuclear-Mitochondrial interactions influence susceptibility to HIV-associated neurocognitive impairment.,Z Zhao,"Center for Precision Health, School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, TX, United States."
30026132,Nuclear-Mitochondrial interactions influence susceptibility to HIV-associated neurocognitive impairment.,T Hulgan,"School of Medicine, Vanderbilt University, Nashville, TN, United States."
30017829,Proteogenomic Analysis of Surgically Resected Lung Adenocarcinoma.,Michael F Sharpnack,"Department of Biomedical Informatics, The Ohio State University, Columbus, Ohio."
30017829,Proteogenomic Analysis of Surgically Resected Lung Adenocarcinoma.,Simona G Codreanu,"Department of Chemistry, Vanderbilt University, Nashville, Tennessee."
30017829,Proteogenomic Analysis of Surgically Resected Lung Adenocarcinoma.,Daniel C Liebler,"Department of Biochemistry, Vanderbilt University, Nashville, Tennessee."
30017829,Proteogenomic Analysis of Surgically Resected Lung Adenocarcinoma.,Kevin R Coombes,"Department of Biomedical Informatics, The Ohio State University, Columbus, Ohio."
30017829,Proteogenomic Analysis of Surgically Resected Lung Adenocarcinoma.,Kun Huang,"Department of Biomedical Informatics, The Ohio State University, Columbus, Ohio."
29967236,Hypogonadism as a Reversible Cause of Torsades de Pointes in Men.,Joe-Elie Salem,"Department of Pharmacology, Pharmacovigilance Unit (J.-E.S., P.G., B.L.-V., C.F.-B.) joe-elie.salem@aphp.fr joe-elie.salem@vanderbilt.edu."
29967236,Hypogonadism as a Reversible Cause of Torsades de Pointes in Men.,Joe-Elie Salem,"Departments of Medicine, Pharmacology, and Biomedical Informatics (J.-E.S., C.M.S., A.M.G., D.M.R.)."
29967236,Hypogonadism as a Reversible Cause of Torsades de Pointes in Men.,Joe-Elie Salem,"Departments of Medicine, Cardiology, and Cardio-Oncology Program, Vanderbilt University Medical Center, Nashville, TN (J.-E.S., J.J.M.)."
29967236,Hypogonadism as a Reversible Cause of Torsades de Pointes in Men.,Christian M Shaffer,"Departments of Medicine, Pharmacology, and Biomedical Informatics (J.-E.S., C.M.S., A.M.G., D.M.R.)."
29967236,Hypogonadism as a Reversible Cause of Torsades de Pointes in Men.,Javid J Moslehi,"Departments of Medicine, Cardiology, and Cardio-Oncology Program, Vanderbilt University Medical Center, Nashville, TN (J.-E.S., J.J.M.)."
29967236,Hypogonadism as a Reversible Cause of Torsades de Pointes in Men.,Andrew M Glazer,"Departments of Medicine, Pharmacology, and Biomedical Informatics (J.-E.S., C.M.S., A.M.G., D.M.R.)."
29967236,Hypogonadism as a Reversible Cause of Torsades de Pointes in Men.,Dan M Roden,"Departments of Medicine, Pharmacology, and Biomedical Informatics (J.-E.S., C.M.S., A.M.G., D.M.R.)."
29931221,Mega-analysis of Odds Ratio: A Convergent Method for a Deep Understanding of the Genetic Evidence in Schizophrenia.,Peilin Jia,"Center for Precision Health, School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, TX."
29931221,Mega-analysis of Odds Ratio: A Convergent Method for a Deep Understanding of the Genetic Evidence in Schizophrenia.,Wei Xie,"Department of Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN."
29931221,Mega-analysis of Odds Ratio: A Convergent Method for a Deep Understanding of the Genetic Evidence in Schizophrenia.,Zhongming Zhao,"Center for Precision Health, School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, TX."
29915428,A precision oncology approach to the pharmacological targeting of mechanistic dependencies in neuroendocrine tumors.,Chanjuan Shi,"Department of Pathology, Vanderbilt University Medical Center, Nashville, TN, USA."
29915428,A precision oncology approach to the pharmacological targeting of mechanistic dependencies in neuroendocrine tumors.,Kay Washington,"Department of Pathology, Vanderbilt University Medical Center, Nashville, TN, USA."
29915428,A precision oncology approach to the pharmacological targeting of mechanistic dependencies in neuroendocrine tumors.,Andrea Califano,"Department of Biomedical Informatics, Columbia University, New York, NY, USA. califano@cumc.columbia.edu."
29889272,Commentary: The Future Currency of Neurosurgery is Data.,Lola B Chambless,"Department of Neurological Surgery, Vanderbilt University Medical Center, Nashville, Tennessee."
29889272,Commentary: The Future Currency of Neurosurgery is Data.,Jason M Davies,"Department of Biomedical Informatics, Jacobs School of Medicine, University at Buffalo, Buffalo, New York."
29888062,Standardizing And Democratizing Access To Cancer Molecular Diagnostic Test Data From Patients To Drive Translational Research.,Subha Madhavan,"Innovation Center for Biomedical Informatics, Georgetown University, Washington D.C."
29888062,Standardizing And Democratizing Access To Cancer Molecular Diagnostic Test Data From Patients To Drive Translational Research.,Deborah Ritter,"Innovation Center for Biomedical Informatics, Georgetown University, Washington D.C."
29888062,Standardizing And Democratizing Access To Cancer Molecular Diagnostic Test Data From Patients To Drive Translational Research.,Christine Micheel,"Vanderbilt University School of Medicine, Nashville,TN."
29888062,Standardizing And Democratizing Access To Cancer Molecular Diagnostic Test Data From Patients To Drive Translational Research.,Shruti Rao,"Innovation Center for Biomedical Informatics, Georgetown University, Washington D.C."
29888062,Standardizing And Democratizing Access To Cancer Molecular Diagnostic Test Data From Patients To Drive Translational Research.,Matthew Mccoy,"Innovation Center for Biomedical Informatics, Georgetown University, Washington D.C."
29888062,Standardizing And Democratizing Access To Cancer Molecular Diagnostic Test Data From Patients To Drive Translational Research.,Peter Mcgarvey,"Innovation Center for Biomedical Informatics, Georgetown University, Washington D.C."
29847509,Brain neurotransmitter transporter/receptor genomics and efavirenz central nervous system adverse events.,David W Haas,"Department of Medicine, Vanderbilt University School of Medicine."
29847509,Brain neurotransmitter transporter/receptor genomics and efavirenz central nervous system adverse events.,Anurag Verma,"Institute for Biomedical Informatics, University of Pennsylvania, Perelman School of Medicine, Philadelphia."
29847509,Brain neurotransmitter transporter/receptor genomics and efavirenz central nervous system adverse events.,Marylyn D Ritchie,"Institute for Biomedical Informatics, University of Pennsylvania, Perelman School of Medicine, Philadelphia."
29728395,,Derek K Smith,"Vanderbilt University Medical Center, Nashville, TN. Department of Biostatistics, Vanderbilt University, Nashville, TN (D.K.S., J.D.B.)."
29728395,,Jeffrey D Blume,"Vanderbilt University Medical Center, Nashville, TN. Department of Biostatistics, Vanderbilt University, Nashville, TN (D.K.S., J.D.B.)."
29728395,,Dan M Roden,"Department of Medicine (B.M.K., A.M.G., D.M.R.) dan.roden@vanderbilt.edu."
29728395,,Dan M Roden,Department of Biomedical Informatics (D.M.R.).
29700066,Opportunities and Challenges in Cardiovascular Pharmacogenomics: From Discovery to Implementation.,Dan M Roden,"From the Department of Medicine (D.M.R., S.L.V.D., Q.S.W., J.D.M., J.C.D., J.F.P.) dan.roden@vanderbilt.edu."
29700066,Opportunities and Challenges in Cardiovascular Pharmacogenomics: From Discovery to Implementation.,Dan M Roden,"Department of Biomedical Informatics (D.M.R., J.C.D., J.F.P.)."
29700066,Opportunities and Challenges in Cardiovascular Pharmacogenomics: From Discovery to Implementation.,Sara L Van Driest,"Department of Pediatrics (S.L.V.D.), Vanderbilt University Medical Center, Nashville, TN."
29700066,Opportunities and Challenges in Cardiovascular Pharmacogenomics: From Discovery to Implementation.,Joshua C Denny,"Department of Biomedical Informatics (D.M.R., J.C.D., J.F.P.)."
29700066,Opportunities and Challenges in Cardiovascular Pharmacogenomics: From Discovery to Implementation.,Josh F Peterson,"Department of Biomedical Informatics (D.M.R., J.C.D., J.F.P.)."
29666432,Genetic validation of bipolar disorder identified by automated phenotyping using electronic health records.,Douglas M Ruderfer,"Division of Genetic Medicine, Vanderbilt University Medical Center, Nashville, TN, 37212, USA."
29666432,Genetic validation of bipolar disorder identified by automated phenotyping using electronic health records.,Shawn N Murphy,"Department of Biomedical Informatics, Harvard Medical School, 10 Shattuck Street, Boston, MA, 02115, USA."
29657859,A survey of practices for the use of electronic health records to support research recruitment.,Laura M Beskow,"Center for Biomedical Ethics and Society, Vanderbilt University Medical Center, Nashville, TN, USA."
29657859,A survey of practices for the use of electronic health records to support research recruitment.,Ramkiran Gouripeddi,"Department of Biomedical Informatics, Utah Center for Clinical and Translational Science, University of Utah, Salt Lake City, UT, USA."
29657859,A survey of practices for the use of electronic health records to support research recruitment.,Chunhua Weng,"Department of Biomedical Informatics, Columbia University, New York, NY, USA."
