NCTId,manual wikidata matches,pi_strings,pi_titles,pi_affiliations
NCT01960413,,"Joshua Field, MD, MS",,Medical College of Wisconsin
NCT03521141,,"Maureen Sanderson, PhD, RD, MPH",,Meharry Medical College
NCT03394859,,"Samuel Adunyah, PhD",,Meharry Medical College
NCT00281151,,John J. Murray,,Meharry Medical School
NCT02339935,,"Kevin Sanders, MD | Kevin Sanders | Kevin Sanders, MD",Principal Investigator,MEND Clinic - Director
NCT03394859,,"Teri Manolio, MD, PhD",,National Human Genome Research Institute (NHGRI)
NCT03394859,,"Rex Chisholm, PhD",,Northwestern University
NCT01040897,,"Shonna Yin, MD MS",,NYU
NCT02784535,,"Horacio Kaufmann, MD",,NYU Langone Medical Center
NCT04042467,,"H. Shonna Yin, MD, MS",,"NYU School of Medicine, NYU Langone Health"
NCT00573404,,"Charles D. Blanke, MD, FACP",,OHSU Knight Cancer Institute
NCT03394859,,"Heidi Rehm, PhD",,Partners Healthcare with Broad Institute
NCT02458482,,"Evan H Allie, MD",,Pediatric Emergency Medicine Clinical Fellow
NCT03209960,,"David Charles, M.D. | David Charles","Professor and Vice-Chairman of Neurology; Chief Medical Officer, Vanderbilt Neuroscience Institute",Professor and Vice-Chairman of Neurology
NCT01006694,,"victoria ngo, phd",,RAND
NCT03521518,,"James E Eaton, MD | James Eaton",Principle Investigator,Resident Physician
NCT00057577,,"Jan A. Fawcett, MD",,Rush Medical Center
NCT02021578,,"Robin Weersing, PhD",,San Diego State University
NCT01040897,,"Lee Sanders, MD MPH",,Stanford University
NCT04042467,,"Lee Sanders, MD, MPH",,Stanford University
NCT02519283,,"Javed Butler, MD",,Stony Brook University
NCT03521141,,"Rebecca Selove, PhD, MPH",,Tennessee State University
NCT00609245,,"William Rosenfeld, MD",,The Comprehensive Epilepsy Care Center for Children & Adults
NCT01134900,,"Allison B McCoy, PhD | Allison McCoy",Principle Investigator,The University of Texas Health Science Center at Houston (UTHealth)
NCT01040897,,"Kori Flower, MD MS MPH",,UNC Chapel Hill
NCT00592865,,"Burt Nabors, MD",,University of Alabama at Birmingham
NCT03787732,,"Derek W Russell, MD",,University of Alabama at Birmingham
NCT04000971,,"George Howard, DrPH",,University of Alabama at Birmingham
NCT00515216,,"James Posey, M.D.",,University of Alabama at Birmingham
NCT00310401,,"Michael A Matthay, M.D.",,"University of California, San Francisco"
NCT03157908,,"Tamsin K Phillips, MPH",,University of Cape Town
NCT01040897,,"Alan Delamater, LP PhD",,University of Miami
NCT04042467,,"Alan Delamater, PhD",,University of Miami
NCT03037502,,"Natasha Solle, PhD",,University of Miami
NCT00849771,,"Peter Cole, MD",,University of Minnesota
NCT00515216,,"Richard Goldberg, M.D.",,University of North Carolina
NCT04042467,,"Kori Flower, MD, MS, MPH",,"University of North Carolina, Chapel Hill"
NCT00057577,,"Robert J. DeRubeis, PhD",,University of Pennsylvania
NCT01678638,,"Jon E Tyson, MD, MPH",,University of Texas Health Science Center at Houston; Children's Memorial Hermann Hospital
NCT01150851,,"Jonathan Himmelfarb, MD",,University of Washington
NCT00878969,,"Jonathan Himmelfarb, MD",,University of Washington
NCT00758667,,"Bruce Shack, MD | R. Bruce Shack","R. Bruce Shack, MD",Vanderbit Unviersity Medical Center
NCT04305600,,"Mayur Patel, MD",,VUMC
NCT00515216,,"Albert C. Lockhart, M.D. | Craig Lockhart",Associate Professor,Washington University School of Medicine
NCT00072761,,"Michael R. DeBaun, MD, MPH | Michael DeBaun","Professor or Pediatrics and Medicine, JC Peterson Endowed Chair, Vice Chair of Clinical Research",Washington University School of Medicine
